Title,Link,Paragraphs
"SpaceX launches rocket on Starlink mission from Cape Canaveral, Florida Friday morning",https://www.floridatoday.com/story/tech/science/space/spacex/2025/02/21/spacex-launch-falcon-9-rocket-from-florida-cape-canaveral-on-starlink-mission/79301275007/,"['A bright and cold Friday morning saw a SpaceX rocket lift off on the latest Starlink mission.', 'At 10:19 a.m., the rocket lifted off from Cape Canaveral Space Launch Complex 40. The Falcon 9 was carrying 23 Starlink internet satellites, 13 which included direct to cell capabilities, as it rumbled on a southeast trajectory.', 'Eight and a half minutes after the liftoff, the first-stage of the rocket landed on the A Shortfall of Gravitas drone ship which was waiting out on the Atlantic Ocean.', 'It was the 21st landing of this particular first-stage. Previous missions it flew include: 11 Starlink missions, CRS-26, OneWeb Launch 16, Intelsat IS-40e, O3b mPOWER, Ovzon 3, Eutelsat 36D, Turksat 6A, Maxar 2, and SXM-9.', 'When is the next launch?Is there a launch today? Upcoming SpaceX, NASA rocket launch schedule at Cape Canaveral', 'Need a break? Play the USA TODAY Daily Crossword Puzzle.', ""The next launch is currently set for 7:17 p.m. on Wednesday, Feb. 26 from Kennedy Space Center Pad 39A. The SpaceX Falcon 9 launch will send off Intuitive Machines' second lunar lander − a follow up mission after first mission saw a successful soft landing last year, but tipped over shortly afterward."", 'FLORIDA TODAY will provide coverage of the mission at FloridayToday.com/Space.', 'Brooke Edwards is a Space Reporter for Florida Today. Contact her at bedwards@floridatoday.com or on X: @brookeofstars.']"
SpaceX targets late-night Falcon 9 launch from Florida coast,https://www.clickorlando.com/news/space-news/2025/02/22/spacex-targets-late-night-falcon-9-launch-from-florida-coast/,"['', 'Anthony Talcott, Digital Journalist', 'Published: February 21, 2025 at 11:01 PM', 'Updated: February 23, 2025 at 3:41 PM', '', 'BREVARD COUNTY, Fla. – SpaceX has announced plans for a late-night launch of its Falcon 9 rocket from Florida’s Space Coast on Monday.', 'SpaceX officials said that the launch will send another batch of 21 Starlink communications satellites into orbit from the Cape Canaveral Space Force Station.', 'Recommended Videos', '', '', '', 'Liftoff is targeting 11:26 p.m. on Monday, though backup opportunities will run through 3:06 a.m. on Tuesday, Feb. 25.', 'The launch had originally been scheduled for late Sunday.', '[EXCLUSIVE: Become a News 6 Insider (it’s FREE) | PINIT! Share your photos]', 'In addition, the company stated that additional launch opportunities will be available on Tuesday starting at 10:47 p.m.', 'This is set to be the first flight for the first-stage booster used in the mission, which is expected to land on the Just Read the Instructions droneship in the Atlantic Ocean after stage separation.', 'News 6 will stream the launch live at the top of this story when it happens.', 'More Stories Like This In Our Email Newsletter', 'Copyright 2025 by WKMG ClickOrlando - All rights reserved.', 'Anthony, a graduate of the University of Florida, joined ClickOrlando.com in April 2022.', 'email', ""Little Mermaid Ariel's Undersea Adventure (Nintendo DS, 2006..."", '$10', 'ELOISE E. | sellwild.com', '2025 Jeep Grand Cherokee GRAND CHEROKEE LIMITED 4X4', '$53,635', 'LOTLINX A. | sellwild.com', 'First Aid Beauty Ultra Repair Cream Intense Hydration Dry Sk...', '$28', 'MANDA N. | sellwild.com', '', '', '', '', '', '', '', '', '', '2024 Volkswagen ID.4', '$29,988', 'MYEV M. | sellwild.com', 'Powered by', '', ""I lost my boy, Augie, recently and I'm devastated. I sent you a picture when he was still alive but you didn't air it. I hope you'll air it This time as a memorial to him."", 'Our two beloved Rescue kitties Bizkit (left) and Blizzard. 9 mos old. In honor of ""National Love Your Pet Day"". They said they would love to see themselves on your broadcast, they ❤ Chanel 6!!', 'Recommended Videos', '', '', '', 'TV Listings', 'Email Newsletters', 'RSS Feeds', 'Contests and Rules', 'Contact Us / Follow on Social Media', 'Careers at WKMG', 'Closed Captioning / Audio Description', 'Public File', 'Current EEO Report', 'Terms of Use', 'Privacy Policy', 'Do Not Sell My Info', 'FCC Applications', 'EEO Report', 'Disability Assistance', 'Cookie Preferences', 'If you need help with the Public File, call (407) 291-6000.', 'At WKMG, we are committed to informing and delighting our audience. In our commitment to covering our communities with innovation and excellence, we incorporate Artificial Intelligence (AI) technologies to enhance our news gathering, reporting, and presentation processes. Read our article to see how we are using Artificial Intelligence.', 'Copyright © 2025 ClickOrlando.com is managed by Graham Digital and published by Graham Media Group, a division of Graham Holdings.']"
SpaceX issues sonic boom advisory for first rocket booster landing near the Bahamas,https://www.wftv.com/news/local/spacex-issues-sonic-boom-advisory-first-rocket-booster-landing-near-bahamas/BIJRGTBFPNDFDOECYG7P7JUCF4/,"['SpaceX is warning people in the Bahamas they could hear a sonic boom during their next rocket launch.', 'SpaceX issues sonic boom advisory for first rocket booster landing near the Bahamas SpaceX is warning people in the Bahamas they could hear a sonic boom during their next rocket launch. (WFTV)', 'KENNEDY SPACE CENTER, Fla. — SpaceX is warning people in the Bahamas they could hear a sonic boom during their next rocket launch.', 'SpaceX said it will attempt to land the first-stage booster of its Falcon 9 rocket near the Bahamas during its next launch.', 'The rocket is set to take off at 6 p.m. on Tuesday from the Cape Canaveral Space Force Station.', 'Watch: Investigation underway after SpaceX Starship rocket launch ends in explosion', '', '', '', '', '', '', '', '', '', '', '', '© 2024 Cox Media Group. This station is part of Cox Media Group Television. Learn about careers at Cox Media Group. By using this website, you accept the terms of our Visitor Agreement and Privacy Policy, and understand your options regarding Ad Choices.']"
Experience the Thrill: Watch SpaceX Rocket Light Up Florida’s Morning Sky,https://www.scimag.news/news-en/129026/experience-the-thrill-watch-spacex-rocket-light-up-floridas-morning-sky/,"['SCIENCE MAGAZINE', 'Every trip to Florida’s Space Coast holds the promise of awe and wonder, especially when SpaceX launches its majestic Falcon 9 rocket, painting the dawn with trails of starlight. With a payload of Starlink satellites onboard, the liftoff from Cape Canaveral transforms simple mornings into unforgettable moments, captured best as dawn’s soft hues mingle with the bright contrail above.', 'From the shores of Daytona Beach to the serene sands of Vero Beach, spectators gather in anticipation. Whether you’re a seasoned enthusiast or a curious traveler, finding a prime spot like Sebastian Inlet Park or Wabasso Beach Park offers a front-row view of this celestial spectacle. Feel the electric anticipation as the rocket ignites, and let your imagination soar as the vehicle ascends against the backdrop of a waking sky.', 'This isn’t just a visual marvel; it’s a reminder of human ingenuity in unlocking the mysteries of the universe. The rocket’s mission is part of SpaceX’s broader goal to deliver global internet access through its Starlink satellites. These technologies aim to connect even the most remote corners of the world, bridging the digital divide.', 'Even as SpaceX propels us into the future with potential for space tourism and commercial flights, the environmental implications spark conversations. By refining reusable rockets, SpaceX addresses eco-friendly innovation, paving the way for more sustainable space exploration.', 'Don’t miss out on this extraordinary experience—a SpaceX launch is more than just a rocket ascending into space; it’s a symbol of endless possibilities. Embrace the spectacle, and let it inspire a newfound sense of wonder in the vast universe around us.', 'New Perspectives on SpaceX Falcon 9 Launches', 'SpaceX’s Falcon 9 rocket launches have become iconic moments for both seasoned space enthusiasts and curious travelers alike. These events not only showcase rocket technology but also encapsulate the frontier of space exploration and sustainability. Below are critical insights and questions that delve into the relevance and future of these celestial spectacles.', 'What Are the Pros and Cons of SpaceX’s Starlink Initiative?', 'Pros:', '1. Global Internet Access: Starlink aims to provide high-speed internet access to underserved and remote areas worldwide. This effort could significantly bridge the digital divide, offering opportunities for education, communication, and economic development.', '2. Technological Innovation: The initiative showcases cutting-edge technology in satellite development and deployment, stimulating advancements in the aerospace industry.', '3. Job Creation: The project has generated numerous job opportunities in tech and engineering sectors as it scales up its operations.', 'Cons:', '1. Space Debris Concerns: A potential increase in space debris endangers both current and future missions. With thousands of satellites planned, the risk to other satellites and spacecraft increases exponentially.', '2. Astronomical Impact: The brightness and number of Starlink satellites have raised concerns among astronomers about light pollution, which may hinder observations and research.', 'For more information, explore the innovations of SpaceX.', 'What Environmental Considerations Do SpaceX Rockets Address?', 'SpaceX is at the forefront of integrating eco-friendly innovations within its operations:', '– Reusable Rockets: SpaceX’s dedication to reusability has transformed how we think about space travel. By recovering and reusing rocket components, they reduce waste and the carbon footprint associated with launches.', '– Sustainable Fuels: SpaceX is actively researching sustainable fuel options to minimize greenhouse gas emissions.', 'How Does SpaceX Contribute to the Future of Space Tourism?', 'With initiatives beyond internet satellites, SpaceX is paving the way for a burgeoning space tourism industry:', '– Commercial Flights: SpaceX has announced plans for commercial space flights, signaling a major step toward making space travel accessible to private citizens.', '– Technological Proof: Each successful launch and landing of the Falcon 9 serves as a technological proof of concept for future space tourism endeavors, emphasizing safety and reliability.', 'To learn more about space tourism possibilities, visit SpaceX.', 'Conclusion', 'SpaceX’s Falcon 9 launches are more than technological feats; they symbolize humanity’s relentless pursuit of knowledge and connectivity. As we look ahead to a universe of possibilities, it’s imperative to weigh the benefits against the ethical and environmental considerations. Witnessing a launch is a call to action—to inspire, innovate, and protect the chance to explore our cosmic neighborhood responsibly.', 'Carmen Tallet is a distinguished author and thought leader in the realms of new technologies and financial technology (fintech). With a degree in Computer Science from the prestigious University of Vexford, Carmen has developed a profound understanding of the intersection between technology and finance. Her career includes significant roles at WealthHub Technologies, where she contributed to pioneering innovations in digital payments and blockchain systems. Drawing from her extensive experience, Carmen provides insightful analysis and commentary on emerging trends that shape the financial landscape. Through her writing, she aims to empower readers with knowledge and understanding of the evolving technology that drives the future of finance.', '', '', '', '', '', 'Save my name, email, and website in this browser for the next time I comment.', '', ""Market Shakeup: Walmart's Slump Meets China's Surge in a Tumultuous Week""]"
"SpaceX Starlink rocket launch: When is liftoff? Where to watch in Sebastian, Vero Beach",https://www.yahoo.com/news/spacex-starlink-rocket-launch-liftoff-094511531.html,"['', '', '', '', '', 'A “so Florida” thing to do is coming up: a potential SpaceX rocket launch.', 'A late night evening rocket launch in semi-cool and semi-breezy Florida could kick off the week if things go according to plan for the space agency.', 'SpaceX plans to send a Falcon 9 rocket with several Starlink satellites into orbit on Monday, Feb. 24. And depending on weather and visibility, there could be a show in the sky above the Treasure Coast.', ""Rockets launch from Kennedy Space Center and Cape Canaveral, Florida, in neighboring Brevard County, which is an hour east of the Orlando theme parks. Depending on cloud cover, weather and visibility, people from Sebastian and Vero Beach to Fort Pierce might see a nice streak in the sky — given the proximity to NASA's Kennedy Space Center and Cape Canaveral Space Force Station."", 'Below are suggestions on where to watch the rocket launch from this area and other things to know. If there are changes to the launch schedule, this story will be updated.', 'Rocket launch calendar: Is there a launch today? Upcoming SpaceX, NASA rocket launch schedule at Cape Canaveral', 'For questions or comments, email FLORIDA TODAY Space Reporter Rick Neale at rneale@floridatoday.com or Space Reporter Brooke Edwards at bedwards@floridatoday.com. For more space news from the USA TODAY Network, visit floridatoday.com/space.', 'Weather permitting and depending on cloud cover, yes, rocket launches from neighboring Space Coast could be visible in Indian River County. When there’s a launch window in the middle of the night or very early morning, there’s an opportunity for unique photos — the rocket lights up the dark sky and the contrail after makes for a great photo.', 'SpaceX has confirmed, and the Federal Aviation Administration navigational warning shows a 4½-hour launch window — which indicates a Starlink mission — from Cape Canaveral Space Force Station.', 'Mission: A SpaceX Falcon 9 will launch the next batch of Starlink internet satellites into low-Earth orbit.', 'Launch window: 11:26 p.m. EDT Monday, Feb. 24', 'Location: The SpaceX Falcon 9 rocket will attempt liftoff from Launch Complex 40 at Cape Canaveral Space Force Station.', 'Trajectory: Southeast', 'Live coverage starts 90 minutes before liftoff at floridatoday.com/space: You can watch live rocket launch coverage from USA TODAY Network’s Space Team, which consists of FLORIDA TODAY space reporters Rick Neale and Brooke Edwards and visuals journalists Craig Bailey, Malcolm Denemark and Tim Shortt. Our Space Team will provide up-to-the-minute updates in a mobile-friendly live blog, complete with a countdown clock and SpaceX Falcon 9 rocket launch livestream at floridatoday.com/space, starting 90 minutes before liftoff. You can download the free FLORIDA TODAY app, which is available in the App Store or Google Play, or type floridatoday.com/space into your browser.', 'Shown is the National Weather Service-Melbourne radar, which shows conditions in real-time for the Space Coast, Brevard County, Orlando and other parts of Florida. The current date and time show up on the bottom right of this radar embed; otherwise, you may need to clear your cache.', 'The best views to watch a rocket launch from neighboring Brevard County, aka the Space Coast, is here along the beach. Visibility in Indian River County, St. Lucie County and Martin County, part of the Treasure Coast, will depend on weather conditions, and people should make sure not to block traffic or rights of way on bridges and to follow posted rules at beaches. Look due north.', ""• Pretty much anywhere in Brevard, you'll get a view of the rocket launch. That includes Melbourne Beach, which borders Indian River County, or from Grant-Valkaria along the Indian River Lagoon."", '• Sebastian Inlet Park, 9700 S. State Road A1A, Melbourne Beach (there is a cost to enter)', '• Wabasso Beach Park, 1808 Wabasso Beach Road, Wabasso', '• Ambersands Beach Park, 12566 N. SR A1A, Vero Beach (free parking)', '• South Beach Park, 1700 Ocean Drive, Vero Beach (free parking)', '• Merrill Barber Bridge in Vero Beach', '• Alma Lee Loy Bridge in Vero Beach', '• Fort Pierce Inlet, 905 Shorewinds Drive', '• Blind Creek Beachside North and South, South Ocean Drive or SR A1A on Hutchinson Island in Fort Pierce', '• Blue Heron Beach, 2101 Blue Heron Blvd., Fort Pierce', '• Frederick Douglass Memorial Park, 3600 S. Ocean Drive, Fort Pierce', '• Dollman Park Beachside, 9200 South Ocean Drive, Jensen Beach', ""• Herman's Bay Beach, 7880 South Ocean Drive, Jensen Beach"", '• John Brooks Park Beachside, 3300 S Ocean Drive, Fort Pierce', '• Middle Cove Beach, 4600 South Ocean Drive, Fort Pierce', '• Normandy Beach in Jensen Beach', '• Pepper Park Beachside, 3302 N. SR A1A, Fort Pierce,', '• Walton Rocks Beach, which has a dog park, 6700 South Ocean Drive, Jensen Beach', '• Waveland Beach, 10350 S. Ocean Drive, Jensen Beach', '• House of Refuge and beach, 301 S.E. MacArthur Blvd., Stuart', '• State Road A1A causeway in Stuart', 'Consider subscribing to a Florida newspaper to support local journalism.', 'This article originally appeared on Treasure Coast Newspapers: SpaceX rocket launch: Best places to see in Fort Pierce, Jensen Beach']"
No title found,https://www.msn.com/en-us/news/technology/watch-this-amazing-view-from-space-of-how-spacex-starlink-satellites-were-deployed/vi-AA1zACff?ocid\u003dhpmsn,[]
Local News,https://www.noozhawk.com/spacex-rocket-makes-another-delivery-days-after-debris-from-prior-launch-lands-in-poland/,"['', '', '', '', 'Noozhawk', 'The freshest news in Santa Barbara County', 'A SpaceX rocket successfully launched from Vandenberg Space Force Base on Saturday, days after debris from a previous West Coast mission landed in Poland due to a second-stage glitch for Falcon.', 'Lifting off at 5:38 p.m., the rocket delivered 22 Starlink satellites into orbit, with SpaceX confirming deployment an hour after departure.', 'The rocket’s first-stage booster also landed on the droneship positioned in the Pacific Ocean.', 'Saturday’s mission occurred three weeks after another Starlink mission from Vandenberg experienced a glitch on the second stage, leading to debris landing in Poland. ', 'Images of the fiery re-entry and used second stage began appearing on social media sites Feb. 19. ', 'SpaceX confirmed the second stage from the Falcon rocket’s Feb. 1 mission reentered Earth’s atmosphere over Europe. Dozens of people reported the fiery sighting, according to social media users in Europe.', '“SpaceX is working closely with the government of Poland on recovery and cleanup efforts,” the firm said in a written statement. “There are no toxic materials present in the debris.”', 'Anyone who believes they have identified a piece of a used rocket part should not attempt to handle or retrieve the debris directly. Instead, please contact your local authorities or the SpaceX Debris Hotline at 1-866-623-0234 or at recovery@spacex.com.', 'Unlike other rockets, Falcon typically uses recycled components including the first-stage booster, or lower two-thirds and most complex segment of the vehicle. The first-stage booster returns to a droneship or Vandenberg once completing its chores so it can be used again.', 'The firm also recovers the two halves of the payload fairing, or nose cone, for reuse.', 'But each mission employs a new second-stage engine with a goal of disposing of the used component over the ocean in a controlled entry once payload delivery occurs.', 'However, a glitch prevented the controlled re-entry for the Feb. 1 mission. ', 'SpaceX revealed a liquid oxygen leak during the planned coast phase interfered with the typical handling of the spent second-stage component. ', '“SpaceX actively and propulsively deorbits its Falcon second stages for most missions, performing a controlled disposal into broad ocean areas,” SpaceX said in a written statement.', '', '', '“The vehicle has an excellent track record of successfully doing so, including 115 successful deorbits of second stages out of 116 attempted in 2024.”', 'Due to the leak, the planned deorbit burn was not performed and steps were taken to remove sources of stored energy on the component. ', '“The teams are actively assessing root cause of the source of the leak and have already implemented mitigations for future flights,” SpaceX said.', 'Last summer after a Vandenberg liftoff, a glitch involving a Space rocket’s second stage left the Starlink satellites in an unusable orbit, a rare mission outcome for the Falcon 9 vehicle. ', 'The firm also reported an “off-nominal deorbit burn” following a Florida launch in September.', 'Following Saturday’s launch, the West Coast SpaceX crew will ready the next rocket as two NASA missions, SPHEREx and PUNCH, will share a ride into space, possibly as soon as Friday. ', 'SPHEREx — which stands for Spectro-Photometer for the History of the Universe, Epoch of Reionization, and Ices Explorer — will conduct the first large-scale survey of water ice and other key ingredients for life in the Milky Way galaxy, according to NASA. ', 'The two-year mission calls for mapping the entire sky as scientists seek signs of water, carbon dioxide, carbon monoxide, and other key ingredients for life.', 'A second payload, PUNCH (Polarimeter to Unify the Corona and Heliosphere) mission, boasts four satellites to study solar wind. ', 'NASA officials announced a one-day delay for the launch of the space telescope and sun missions to provide time to “ensure the vehicle’s readiness ahead of liftoff.” Departure now is planned for 7:09 p.m. Friday.  ', '— Noozhawk North County editor Janene Scully can be reached at jscully@noozhawk.com. Follow Noozhawk on Twitter: @noozhawk, @NoozhawkNews and @NoozhawkBiz. Connect with Noozhawk on Facebook.', '', '', '', '', '', '', '', '', '', '', 'P.O. Box 101\nSanta Barbara, CA 93102', 'Noozhawk is a founding member of the Local Independent Online News (LION) Publishers.', 'Site design and development by Hop Studios Hop Studios']"
SpaceX launches 20-plus Starlink satellites,https://www.wogx.com/video/1595382,"['SpaceX issued a warning for residents and visitors in The Bahamas after a potential sonic boom during its launch on Tuesday.', '', '', 'This material may not be published, broadcast, rewritten, or redistributed. ©2025 FOX Television Stations']"
SpaceX Falcon 9 rocket may rumble louder than usual Tuesday evening en route to the Bahamas,https://www.floridatoday.com/story/tech/science/space/2025/02/17/spacex-falcon-9-rocket-to-target-drone-ship-landing-in-the-bahamas-tuesday-after-florida-launch/78962616007/,"[""(This story has been updated to include SpaceX's latest target liftoff time.)"", 'A SpaceX rocket following an unusual southeastern trajectory may generate louder rumbling than usual Tuesday evening along the Space Coast as it ascends toward the Bahamas.', 'SpaceX will attempt to land a Falcon 9 first-stage booster atop the Just Read the Instructions drone ship in the Bahamas for the first time. Liftoff of this Starlink 10-12 mission is scheduled for 6:21 p.m. EST Tuesday from Cape Canaveral Space Force Station, with backup launch opportunities available until 9:35 p.m.', ""To the south of Launch Complex 40 — think Cape Canaveral-Cocoa Beach down to Sebastian Inlet — the rising rocket's orbital flight path should track closer to the Brevard County shoreline than typical Starlink missions, according to navigational warnings issued by the Coast Guard and Space Launch Delta 45."", 'Cape Canaveral:Is there a launch today? Upcoming SpaceX, NASA rocket launch schedule at Cape Canaveral', 'Need a break? Play the USA TODAY Daily Crossword Puzzle.', 'After stage separation, the booster will target the drone ship landing 8 minutes, 15 seconds after liftoff, SpaceX reported.', '""There is the possibility that residents of and visitors to The Bahamas may hear one or more sonic booms during the landing, but what may be experienced will depend on weather and other conditions,"" the SpaceX website said.', 'The Falcon 9 upper stage will deliver 23 Starlink satellites into low-Earth orbit. No Central Florida sonic booms should occur. For live FLORIDA TODAY Space Team launch coverage blog updates, visit floridatoday.com/space starting about 90 minutes before liftoff.', 'On Friday morning, a Falcon 9 will lift off on another Starlink mission from Cape Canaveral Space Force Station, a Federal Aviation Administration operations plan advisory shows.', 'That 4½-hour launch window extends from 6:31 a.m. to 11:02 a.m.', 'Rick Neale is a Space Reporter at FLORIDA TODAY. Contact Neale atRneale@floridatoday.com. Twitter/X: @RickNeale1', ""Space is important to us and that's why we're working to bring you top coverage of the industry and Florida launches. Journalism like this takes time and resources. Please support it with a subscription here.""]"
WATCH: SpaceX launches Falcon 9 rocket from Vandenberg Space Force Base,https://www.ksby.com/news/local-news/spacex-planning-saturday-afternoon-launch-from-vandenberg-space-force-base,"['Menu', '48°', 'UPDATE — The Falcon 9 rocket successfully took off at 5:38 p.m.', ""The spacecraft's first stage booster separated around 8 minutes after the launch and landed on a droneship in the Pacific Ocean."", 'UPDATE — Liftoff is now targeted for 5:38 p.m.', 'WATCH:', '___', 'SpaceX is planning a launch of a Falcon 9 rocket out of Vandenberg Space Force Base on Saturday afternoon, the aerospace company announced on its website.', 'Liftoff is set for 3:43 p.m. with backup opportunities available until 5:10 p.m., if needed.', 'The rocket will carry 22 Starlink satellites into low Earth orbit.', 'If needed, additional launch opportunities are available Sunday beginning at 2:10 p.m.', 'A live stream of the launch is scheduled to begin about five minutes before liftoff.', 'This will be the 11th flight for the first-stage booster supporting the mission.', ""The rocket's booster is scheduled to land on a droneship in the Pacific Ocean."", ""RELATED| Upcoming Vandenberg launch will send NASA's new sky-mapping telescope into space"", '', '', '', '', '']"
