,U.S.,World,Business,Technology,Entertainment,Sports,Science,Health
0,"(0, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2oyNzZfUURCSDFpN0psNloxV1JDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(10, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pxdGZURkRCSDV3Si1YM2VnSWhTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(20, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pNLWVITURCRWpEM3BvNjktaEtDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(30, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pWeU9EUERCRjU4a1p2X3BmVmd5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(40, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lkcExiTkRCSEFDdmdta2c1ZG95Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(50, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2p0MzV2TERCRVZuUm05VW1lM3ZDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(60, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2o5Mi1QTERCSDBNbm82dXlHd1NDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(70, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2ppX3A3T0RCRjlZQjZRLVdLd2ZTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
1,"(1, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lRMTRIT0RCSFQ0RmhXOVZEeVhTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(11, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2plMXUzSERCRUJBTUNSN256bzlpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(21, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pGZ0pETkRCRnZoejBQUHFGVWpDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(31, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2l5MUpMUERCR0h0XzFYbENpcGVDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(41, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pobHJmT0RCRlBGbGNjcWJlQk1DZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(51, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2k4cTZUUURCRUNSWFZ2d0xwMVhTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(61, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2kxcGFUT0RCRjhFeEYzbGkyNGdTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(71, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2k5djZUUURCRjlXeldncUM3S1dTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
2,"(2, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lIc2MzT0RCRnNHSVdNV1kwYzhDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(12, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lNdV9mTURCRmluMHBKX1A4RmFTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(22, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lQNE1mUERCRmpVU0lUT3VHQzJTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(32, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2kwOF9YTURCRlNrbF9DNnVFeTl5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(42, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pHajVYSURCRmVHbUk1Y2NJUHlpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(52, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lmaVBMUERCR3ItakxuNGhIcmZ5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(62, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lnaVBqRERCRVF5eFJHVllzcHpTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(72, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2poX1B2TkRCRUE4NC1haTZTZ2VpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
3,"(3, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pOc3BIUERCRmYtNEwtMmFSOW5TZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(13, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2l3cTZuTkRCRmd2WW1jZXBHd2d5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(23, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lYbWFuT0RCRV93TGRVWEQwUWJpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(33, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pEd2JUUERCRklUYjFhTENUbmlDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(43, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pkX3FIUURCRURpdmdZT01uWnZpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(53, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2k4Z19qRkRCRlRabW1GNGs2OWhpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(63, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pGdzd6UURCSEJlclFsa181N3hpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(73, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lxc0lYTERCRTlYM1NaQlFBVU1TZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
4,"(4, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pxbFpET0RCSEV3MVpRX3JCUFJDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(14, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2o1bEpyTkRCR2VCLVFaSk5WWU1pZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(24, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pYbXJ2TERCR2tIZjNlcWo4Rk9pZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(34, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2ozMzRMUURCRmNmY2JaWFg5SHRDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(44, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2loNGR6TURCRlAtRG0zWGdWc3ZpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(54, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pCek4zSERCR1hwUEtTMDkzejhDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(64, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2otazZ2UURCR2JtNDNFUkc5eEVpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(74, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lqeGN2SURCRXotZDQwckIyaUJTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
5,"(5, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lBdE9qUERCSG5yaWZXeFJJaXJ5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(15, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pTdG9TX0RCSG9kcWU3cFJqd0t5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(25, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2loN3U3TURCSEJzSTROSzNkYjlpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(35, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pseGYzTkRCRVB2Ym91aU12eDN5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(45, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lDcDVMUERCSEExUmctUFMtSmNTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(55, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2kwMGZMTkRCRmRIbHdUTVF6Ty1DZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(65, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lIamRITkRCRmFzVFgzMm9Pel9pZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(75, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2l5MzdUUURCSGlnY09SRVNMcjZDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
6,"(6, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pHeko3TURCR3hGSmdQSllSb2tpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(16, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pIa0xmUURCSEFzMVB4anM5S2hDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(26, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2kyX0xiSURCRWJES1BwLXBrNXp5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(36, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lxbXBfTkRCRUxBV2RGaVZsNjlTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(46, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pRd3BETkRCSFh0UERLcHkybmhDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(56, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2p3aTdMTERCSDhQQmVmQnliUVNpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(66, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pvZ3FMT0RCR1pYUWRmeGZpTHRTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(76, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pkaE5MSERCSGtJVEZ6RnlZOVNpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
7,"(7, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pTMllmT0RCSGstUlQxLWhId1NTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(17, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lmaGJUTERCRXNVR3lVaTBHdWFpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(27, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2oydmZEUERCRm9VeURQRTFxQzRpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(37, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2k5ekk3TURCRy1PVS1YV1puakR5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(47, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pjOHZuS0RCR2V6LVhROXc2QlRpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(57, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pPeHBETERCRm45N0RFSHI5ZkV5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(67, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lvaXJuTkRCRmM5SnluWEtJaVBDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(77, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2p0dzRYS0RCRXRwZF9rcEFaU2ppZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
8,"(8, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lxOF9MTURCRXZ0b3RPaEE5Y0ZpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(18, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pjdkk3UURCSEVwTjc4ZkVGQ1hpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(28, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lEd2NqTERCR1pOLUQ2SVk1bzBTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(38, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2p3NXZiTERCR2J3Skg1aE9sRDFpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(48, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pxMzRQUERCSHFvUE9VamJ6Q1Z5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(58, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pWMHVqUERCRW1QRk1BSkxaeDJDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(68, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2kzN2QzT0RCRl96bkVpT285NTZTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(78, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2o0OFBfTkRCRUxMTHJjTUV4VjlDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
9,"(9, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pBdHZuQURCSEQ1YWNxNG1hNTJ5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(19, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2laeUtIUURCSFZnbGRsWDUxaDJDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(29, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lEMVkzUERCR1hnNm02emdZd2J5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(39, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pMM192SERCSDgzYmdBX0NpZFVTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(49, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2o1OWN6RkRCSHF6N1Y5ZmVrRk1DZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(59, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2ltZ2FIUURCRWdpX3NwdnBfdUt5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(69, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2ktekxqTkRCRUVOMUdxYjdUZ0hTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(79, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2k1bklmTERCSGQ1VGpEc3cxVHpTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
