,U.S.,World,Business,Technology,Entertainment,Sports,Science,Health
0,"(0, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pYZ1lIQURCR1RRS2NvbHU1a29DZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(10, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2oxaHBIQ0RCRlk2dnNPV2JBMDlpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(20, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2ljdmR1OURCSGptdnhmdmpoa0V5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(30, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2kybU5hX0RCRWdaUElzbFBPOXhDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(40, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pleEtEQ0RCR1gyZzdHeGt3RVhTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(50, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pkOU9LN0RCRVhzNk9rZVVHakR5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(60, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2l2MTUtOERCRWpnVFJGM05NbFNTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(70, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pvbmNmQ0RCRTJvMHBPMzQwand5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
1,"(1, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2laOEt5OURCSHU2SkRhRnhNSUp5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(11, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pTZ3YtekRCRnc3NkxJZ1ZMZkpTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(21, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2poclAtOERCR0xyVFp4elgtQ3Z5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(31, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lNc3B6QURCR3BIOVNfWUVrR2FpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(41, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lNMmNuRURCSDh2V25KOUtsQXJTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(51, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2o1bk1mQ0RCSHpVSjFWazhDLVRpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(61, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2l5eVAtOURCRU5sR05PYXhGUFJTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(71, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2ptOXZ6Q0RCRUxodDZKb3N0eURTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
2,"(2, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lnaGJ6QkRCRzlWZW5HZ2RGSnN5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(12, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lBeTU3RURCRzZDMG5OVVB6SFVDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(22, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lMbThtX0RCRWJreFQ5OUd6aDdDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(32, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lFOTUzRURCRjVwdS1rYml5LVZDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(42, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2k1bmY2X0RCRzRjcnV6Rjc4OHlDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(52, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2liMWVDX0RCRVYtdzk4b010MjZDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(62, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lmdDlhOURCRVB2UXVIbTNfeTJpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(72, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2k0OHFuQ0RCSFQ5YTFicXdmQzFpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
3,"(3, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lUay1mRERCSFFoRDdZa08tUm5DZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(13, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lSNzlEQURCR2ZJN1BfOVhJTXRpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(23, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lRaUoyX0RCSGcwZ2tKdDhIZHh5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(33, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pfX2ZLLURCSDFqbEJhMVp2c2lTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(43, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lhcXNlOURCSDFiMDFKek9ucm55Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(53, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2paaE9iRURCRVFrMkp1ekV5emFpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(63, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lpZ2Q2OURCRTZlYWczNVhhOWtTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(73, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2p4MHF1LURCSEh0QTVRUEVZUkF5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
4,"(4, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lfNG9uRURCR0hGM1F5RlpwUHlpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(14, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pIcGZiRERCRlA0aWFCbFdLRGZpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(24, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2p4aHRyRURCRmlKZkZaazZtemV5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(34, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pnMjRiQkRCRmFueno0SkhlRElTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(44, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lWamQtdkRCSGVZYlBfemE3R0hDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(54, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2o2eHVMRURCRlRDNUFkUU1Rbk5TZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(64, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2o5bWNqRERCRlBZRFFMLURhNmR5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(74, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lUdDdUQ0RCSFBjTzM4c01NdDNDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
5,"(5, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2p3NGNqRURCR29lRmR0ZG02UXlDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(15, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2o0MnZuQURCR2N6N2FiWUdPbDJDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(25, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2ljbFphNURCRnJNbVZyWlZkUk5TZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(35, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lNNHNiQ0RCRl91VjlvZTFsdVRDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(45, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lxc3A3RERCRWhna2NfMmxwTnVTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(55, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2p6bzk3RERCRUxoV2NpdzBBVWd5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(65, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lQMXVyRURCRjkzaXgzdGpKWFNTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(75, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lPc3R2RERCR2tGQ3pUc3MzaEx5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
6,"(6, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lLM3VxLURCRmpfOE9ETjM4TER5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(16, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lteDgyOURCRUt1ZzZYYnR5UVppZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(26, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pMNTRhN0RCR3FWRElmZ0dFSjVpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(36, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pRMzRHX0RCRXk2NWdIam1HWjJ5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(46, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2l4M29MQURCRmZzb1ZDbnRtdnJTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(56, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lmbzVlMURCSEh0UURxTlhiUDhDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(66, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lnN0tiRERCRXdLUnBmV3JyUkJ5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(76, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2piMXMzRURCSHc1Z1ZnM2F6eUhpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
7,"(7, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pwb2UzRURCRm1vR29QZ2J2LXR5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(17, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2p4bWRMRURCRnE0TXg3OUlsZjNpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(27, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lIX3BfRERCRUFFV2Y2Z3VNNzBTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(37, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pJajhpLURCRk1DdTJteGpRX3RpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(47, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2owNHEtNURCRm9NWHVqbmw4Q2V5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(57, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pXX2NHNkRCSHpUVFJFOG5YdHFTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(67, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lQb2VhOURCR2djLXVmUVc3N0JTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(77, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pHM2VQRERCRzNUaFFZaG1ySlZDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
8,"(8, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2o2MWRxNkRCRjM0bmMxSll4QXlpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(18, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lkb1lXN0RCRUc5cW5zdHZFdGN5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(28, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2oyXzZDX0RCR2paRUNwMlltaHh5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(38, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pPc2F1LURCR1hfOEl2UUNxc1ZpZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(48, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2phOC15NURCR3J0OG1Qb2dKdXV5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(58, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2luaTQtOERCSEt4R3Z6Tjg5MEpDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(68, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lTN3Y3QkRCRVRGVVIyMW43YWN5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(78, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lJa1pHNURCSGxSZ1k4SHdzN0RDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
9,"(9, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lZeTVYQkRCR2hWckNvWFBuTUxDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(19, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pKaGFlLURCRUhFdC1heUlCVkdDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(29, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2k2a3YzRERCSDByeUN5SlFBc21DZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(39, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pobWFtNERCRVFGWUppTFlzV2t5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(49, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pNcmFtOERCRkpidDUyeU1lU2FDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(59, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pudXZiRERCR0FQWXdJMnhYSGN5Z0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(69, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pudU5YRERCRTM3cWFPMXhRaUdDZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')","(79, 'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2lZNXYtOERCSEE2am1nN2ltRWNTZ0FQAQ?hl=en-US&gl=US&ceid=US%3Aen')"
