Title,Link,Paragraphs
"Michelle Obama introduces Kamala Harris at Michigan rally; across state, Trump joined by Arab and Muslim leaders – as it happened",https://www.theguardian.com/us-news/live/2024/oct/26/kamala-harris-donald-trump-us-elections-politics?filterKeyEvents\u003dfalse\u0026page\u003dwith%3Ablock-671cff7d8f08d3f94c2ba680,"['Obama urges crowd to ‘turn the page on the ugliness’ as Michigan voters pledge support for Trump because ‘he promised to end war’. This blog is now closed.', 'This blog is closing now – thanks for following along. You can read our US elections coverage here. Here are the major developments from today:', 'Michelle Obama joined Kamala Harris for a rally focused on reproductive freedom in Kalamazoo, Michigan (or as Obama called it, “Kamala-zoo”). The former first lady and the vice-president emphasized the stakes for abortion and reproductive healthcare if Donald Trump is re-elected. Earlier in the day, Harris spoke with reproductive healthcare providers at a clinic in Portage, Michigan.', 'On the first day of early voting in Michigan, Donald Trump also held a rally in Michigan. At an event in Novi, the ex-president was joined on stage by several imams and other leaders of the state’s large Muslim and Arab American community, who denounced Joe Biden’s handling of the war in Gaza.', 'Later in the evening, Trump spoke at a second event in State College, Pennsylvania, where he again promised to ban sanctuary cities and launch a massive deportation program all while unleashing more personal attacks against Harris.', 'Elon Musk, who has become a vocal critic of “open borders”, worked illegally in the United States early in his career, the Washington Post reports. After arriving in the United States for a graduate program at Stanford, Musk never attended classes and did not have work authorization when he started building the company that became Zip2.', 'Joe Biden campaigned for Harris across Pennsylvania today, speaking with the Laborers’ International Union of North America in Pittsburgh.', 'Nika Soon-Shiong, whose family owns the Los Angeles Times, says the paper’s decision not to endorse a presidential candidate was made by her family due to Kamala Harris’s position on the war in Gaza. Her father, Dr Patrick Soon-Shiong, who owns the paper, said his daughter was speaking in her personal capacity.', 'Senator Bob Casey addressed members of the Carpenters Union in Philadelphia and attacked his Republican opponent, Dave McCormick, over allegations that he fostered a toxic work environment as CEO of the hedge fund Bridgewater, describing the claims as “disqualifying”.', 'Harris is expected to campaign across Philadelphia tomorrow while Trump gears up for a rally at Madison Square Garden in New York.', 'Donald Trump concluded his roughly hour-long rally in State College, Pennsylvania, with a request for all of his supporters to go to the polls on 5 November.', '“With your vote this November, we’re going to fire Kamala, and we are going to save America,” Trump said.', 'Again raising the specter of Democratic election meddling despite no evidence of such fraud in the 2020 presidential race, Trump implored his supporters to deliver a “landslide”.', '“We must defeat Kamala Harris and stop a radical left agenda with a landslide that is too big to rig,” Trump said. “We will never ever back down, and we will never surrender.”', 'Trump then walked off the stage with the sound of YMCA by the Village People playing in the background.', 'Apologies for the brief interruption. We hope you’re appreciating these factual, verified, up-to-the-minute news updates provided by our expert reporters.', ""You won't find a paywall around our live blogs – or any of our news, because the Guardian believes that access to trustworthy information is vital for democracy."", 'In a time of increasing misinformation spread by bad actors, extremist media and autocratic politicians, real, reliable journalism has never been more important – and we’re proud to be able to make ours free thanks to the generous support of readers like you. ', 'By helping fund the Guardian today, you can play a vital role in combating the bad faith and self-interest of a powerful few who spread lies to undermine our democracy, enrich themselves, and stoke division between Americans.', 'Before you get back to reading the news, we would be grateful if you could take half a minute to give us your support. Any amount helps. Thank you.', 'Donald Trump unleashed more personal attacks against Kamala Harris at his Pennsylvania rally, dismissing her as a “radical left lunatic”.', 'He then gave a detailed account of his photo opp at McDonald’s last week to recirculate baseless claims that Harris lied about working at the fast-food chain when she was in high school.', 'Donald Trump again promised to ban sanctuary cities and launch a massive deportation program if he wins the presidential race, making xenophobic comments about how US towns have been “conquered” by immigrants.', '“These are dangerous people. These are really dangerous people,” Trump said. “There’s nothing you’re going to do about it to make them less dangerous.”', 'A report compiled by the American Immigration Council estimated the annual cost of deporting one million immigrants per year to be roughly $88bn.', 'Donald Trump briefly touched on his baseless claims of widespread fraud in the 2020 presidential election as he addressed supporters in State College, Pennsylvania.', 'Trump noted that he won more votes in 2020 than any president in US history. That statement is true, but crucially, Trump’s 74m votes fell short of Joe Biden’s 81m votes in the 2020 race. Trump unsurprisingly sidestepped that fact in his remarks.', '“I got the most votes in the history of our country for a sitting president. Can you imagine? But they say they beat us,” Trump said. “[Biden] got a few more votes – sitting in his basement, not talking – and it’s a disgrace.”', 'Trump then repeated his boast that he would easily defeat Kamala Harris, saying, “We’re going to pull this off. It’ll be the greatest victory in the history of our country for all of us – not for me, for all of us.”', 'Donald Trump griped about Kamala Harris’s campaign rally with Beyoncé in Houston last night, mocking the event as a “disaster”.', 'Beyoncé endorsed Harris at the rally, telling the 30,000 people assembled at Shell Energy stadium: “For all the men and women in this room, and watching around the country, we need you.”', 'Despite some speculation that Beyoncé would perform, she did not, prompting ridicule from Trump.', '“The people went there because they thought they’re going to hear Beyoncé sing,” Trump said at his rally in State College. “Then she turned around [and] she left.”', 'Donald Trump should “never again” serve as president of the United States, Kamala Harris says, evoking the ex-president’s authoritarian tendencies.', '“Someone who suggests we should terminate the Constitution of the United States should never again stand behind the seal of the President of the United States,” Harris said, before leading the crowd in a chorus of “never again”.', '“To love our country is to know that one of the highest forms of patriotism, I believe, is to then fight for the ideals of our country,” she added.', 'Donald Trump’s rhetoric against Kamala Harris has turned increasingly vitriolic in the final days of the presidential race, and he continued that trend at his rally in State College, Pennsylvania.', 'Promising a “new golden age” for the nation if he wins, Trump lambasted Harris and Joe Biden’s leadership over the past four years.', '“Pennsylvania, you have to stand up and you have to tell Kamala that you’ve had enough. You’re not going to take it anymore. You’re the worst vice-president,” Trump said. “You’re just horrible, Kamala. You’re fired. Get out of here.”', 'Echoing Michelle Obama, Kamala Harris is trying to draw a through-line between her ancestors in the civil rights movement, her work to preserve reproductive freedom and gen Z’s advocacy around a host of issues.', '“You, who have only known the climate crisis, are leading the charge to protect our planet and our future. You, who grew up with active shooter drills, are fighting to keep our schools safe. You, who now know fewer rights than your mothers and grandmothers, are standing up for reproductive freedom. And for you, all these issues are not, they’re not political. They’re your lived experience. And I want to tell you I see you, and I see your power,” Harris said.', 'Kamala Harris is lauding the Affordable Care Act and speaking about reproductive freedom at her Kalamazoo rally.', '“I believe healthcare should be a right and not a privilege of those who have the money to afford it. On the other hand, we’ve got Donald Trump, who intends to end the Affordable Care Act, or as we like to call it, Obamacare,” Harris said.', '“I did an event in Texas last night in Houston and if you saw it, you probably saw some of the stories about what has been happening in our country, the suffering,” she added, refering to women and families who shared their stories of struggling to access medical care under abortion bans.', 'Noting that Michigan has protected abortion access, Harris added, “if there’s a national abortion ban, nobody is safe.”', 'Arriving about an hour-and-a-half late, Donald Trump has taken the stage for his campaign rally in State College, Pennsylvania.', 'In his typical boasting manner, Trump claimed he is “leading in all the polls”. even as surveys suggest the presidential race is a true toss-up with just 10 days left before election day.', '“We’re leading, but we’ve got to close it out,” Trump said. “On November 5, America will be bigger, better, bolder, richer, safer and stronger than ever before.”', 'Senator Bob Casey attacked his Republican opponent, Dave McCormick, over allegations that he fostered a toxic work environment as CEO of the hedge fund Bridgewater, describing the claims as “disqualifying”.', '“I’ve always placed a priority on combating sexual harassment in the workplace, and apparently at Bridgewater, it was just a whole different story,” Casey told reporters this morning.', '“So he’s being held accountable for that, and he should be held accountable. I think that alone is disqualfiying. If you’ve engaged in that kind of activity in the private sector, you should not be a public official at any level.”', 'The Casey campaign released an ad this week highlighting claims that McCormick attempted to silence or retaliate against female employees of Bridgewater who came forward with harassment claims.', 'Casey’s campaign manager also penned a letter calling on McCormick to demand that Bridgewater release employees who reported harassment from their non-disclosure agreements.', '“It is your responsibility to ensure the voters of Pennsylvania have complete information about your record before casting their votes,” Tiernan Donohue, Casey’s campaign manager, wrote in the letter. “They deserve the full story.”', 'Speaking to reporters after his event with the Carpenters Union, Senator Bob Casey said he believes the momentum and enthusiasm on the ground in Pennsylvania will lift Democrats to victory in 10 days.', '“I think it is close. There’s no question about that,” Casey said. “That energy and intensity on the ground is starting to uplift our side. I’ve never seen the number of volunteers that we’ve seen in this state. Every weekend they’re breaking another record.”', ""Asked about how close the race feels 10 days out, Casey said momentum is on Dems’ side.\n\n“That energy and intensity on the ground is starting to uplift our side. I've never seen the number of volunteers we've seen in this state. Every weekend, they're breaking another record.“"", 'Asked specifically about whether young voters will turn out to vote for him and Kamala Harris, Casey expressed confidence that they would.', '“I think the turnout is going to be high,” Casey said. “Young voters might engage a little late, but I think they’re ready to vote.”', 'Kamala Harris is drawing out the personal and political differences between her and Donald Trump.', '“I grew up in a middle class neighborhood with a working mother who kept a strict budget and did everything she could to make sure my sister and I had all that we needed. I come from the middle class, and I will never forget where I come from,” Harris said.', 'Trump’s “agenda is all laid out in Project 2025, which I still must say, I cannot believe they put that in writing,” she added, before going on to talk about her plan for a child tax credit and to lower housing and healthcare costs.', 'Senator Bob Casey addressed members of the Carpenters Union in Philadelphia this morning, as the three-term Democrat enters the final 10 days of his race against Republican Dave McCormick.', 'Casey, whose race has grown increasingly close in recent weeks, again criticized McCormick over his leadership of the hedge fund Bridgewater and his recent residency in Connecticut.', 'Senator Bob Casey is speaking to the Carpenters Union in Philadelphia this morning.\n\nWith 10 days left until Election Day, Casey is hitting his opponent, Republican Dave McCormick, for his record as a hedge fund manager and his recent residency in Connecticut. pic.twitter.com/PZcV8VKsyS', '“He was investing in Chinese oil companies, investing in Chinese steel companies and betting against US Steel – hurting our workers, hurting our companies. That is his record as a hedge fund CEO,” Casey said.', '“I’ll put my record – fighting for families in this state, investing in communities in this state and fighting for working men and women – I’ll put that record up against his record any day of the week.”', 'Thanking the union for its support throughout his political career, Casey added, “I’m going to work night and day for the next 10 days, like I’ve been working my whole life, to earn your votes and to earn your trust.”']"
Who Is Belal Alzuhairi? Michigan Imam Endorses Donald Trump For President,https://www.timesnownews.com/world/us/us-news/who-is-belal-alzuhairi-michigan-imam-endorses-donald-trump-for-president-article-114636799,"['Theme', 'World', '', '', '', '', '', '', '', 'US', '', '', 'UK', 'Europe', 'Asia', 'Middle East', 'Australia', 'Canada', 'Featured', 'US News', 'US Buzz', 'TRENDING:', 'News', 'World News', 'Us', 'Us News', 'Updated Oct 27, 2024, 05:13 IST', 'Michigan Muslims Support Trump For Presidency (Photo Credits: X/Twitter)', ""Amber Rose Claims Beyonce Stole Her Speech For Harris Rally, Internet Reacts: 'Brain Dead Bird'"", ""5 Days After Calling Off Strike, Doctors Ask CBI To Nab 'Real' Culprit In RG Kar Case, Plan Mass Rally"", '', '', '', '', '', '', 'TRENDING:', ""A passionate storyteller and global citizen, who is dedicated to uncovering the world's hidden narratives. With a background in writing, I bring a uni...View More"", ""Amber Rose Claims Beyonce Stole Her Speech For Harris Rally, Internet Reacts: 'Brain Dead Bird'"", 'Texas Kamala Harris Operative Jordan Bowen Yelled At Child? Video Surfaces', ""Michelle Obama Slams Trump At Kalamazoo Rally, Video Viral: 'Woefully Unprepared...'"", ""Crowd Caused Chaos At Kamala Harris Rally After Beyonce Didn't Perform? Claims Surface"", 'Who Is David Gerome? 23-Year-Old Suspect Arrested In Plymouth Shooting At Speedwell Tavern', 'Follow us :', '© 2024 Bennett, Coleman & Company Limited']"
Michigan Muslim leader voices support for Donald Trump,https://www.khaama.com/michigan-muslim-leader-voices-support-for-donald-trump/,"['Leaders of the Muslim community in the state of Michigan have declared their support for former U.S. President Donald Trump, who is a Republican candidate in the upcoming presidential election.', 'Foreign media reported that Bilal Al-Zuhairi, the Imam of a Michigan mosque, expressed his support for Trump, stating, “We, as Muslims, support Trump because he promises peace. He pledges peace, not war. We support Trump because he promises to end the wars in the Middle East and Ukraine.”', 'The Imam added, “The bloodshed around the world must end, and I believe this man is capable of doing it.” His remarks highlighted the community’s desire for a leader who would focus on resolving global conflicts.', 'Trump’s promises of peace in the Middle East come despite his strong support for Israel. During his presidency, Trump restricted entry to the U.S. for citizens from several Muslim-majority countries, raising questions about his stance toward the Muslim community.', 'Michigan is home to one of the largest Muslim communities in the United States. In the city of Dearborn, known as the birthplace of Henry Ford, Muslims make up about one-third of the population, making it the largest Muslim-majority community proportionate to population in the country.', 'Michigan, with around 8.4 million registered voters and 15 electoral votes out of the 270 needed to win, is one of seven swing states in the United States that play a crucial role in deciding the outcome of the elections.', 'The endorsement of Trump by the Muslim community in Michigan could have significant implications in this key battleground state.', '', 'Save my name, email, and website in this browser for the next time I comment.', '', '', 'Khaama Press was established in 2010. It is one of the leading news outlets reporting from Afghanistan on a 24/7 basis. KP publishes stories and news articles in 3 languages including English, Persian (Farsi) and Pashto.', '© 2010-2024 The Khaama Press - All Rights Reserved.']"
Some Muslim leaders in Michigan rally behind Trump amid discontent with Biden’s Gaza policy,https://www.newsindiatimes.com/some-muslim-leaders-in-michigan-rally-behind-trump-amid-discontent-with-bidens-gaza-policy/,"['A coalition of prominent Muslim leaders in Michigan has publicly endorsed former US President and Republican candidate Donald Trump at a rally in Novi, criticizing US President Biden’s policies regarding the ongoing conflict in Gaza.', 'This announcement marks a significant shift in support from a community that has traditionally leaned toward the US Democratic Party, The Nation reported.', 'At the rally, Belal Alzuhairi emphasised their support for Trump, stating, “We, as Muslims, stand with President Trump because he promises peace, not war.” He praised Trump’s commitment to ending conflicts, particularly in the Middle East and Ukraine, arguing for an end to the global bloodshed. Alzuhairi believes Trump is capable of facilitating peace.\nIn response, Trump affirmed that Muslim and Arab voters seek an end to ongoing wars and a return to peace in the Middle East. He remarked, “That’s all they want,” addressing the community’s desire for stability and resolution in conflict areas.', 'Trump also took the opportunity to criticise Vice President Kamala Harris, pointing out her connection to Liz Cheney, a former Republican congresswoman known for supporting the Iraq invasion in 2001. He noted the endorsement Harris received from the Cheneys, further highlighting perceived inconsistencies within the Democratic Party, reported The Nation.', 'The discontent within Michigan’s Muslim community has grown due to the Biden administration’s unwavering support for Israel amid its military actions in Gaza since October 7, 2023. This shift was evident when over 100,000 Democratic voters chose “uncommitted” in the state’s presidential primary, protesting Biden’s Gaza policy during his re-election campaign.', 'Tensions escalated when the Democratic Party declined the request from the Uncommitted movement to feature a Palestinian American speaker at the Democratic National Convention in August. This refusal further alienated Muslim voters, who felt underrepresented.', 'Adding to the strain, Ahmed Ghanim, a former congressional candidate in Michigan, reported being removed from an invitation-only event hosted by Harris without explanation. The Harris campaign later expressed regret over the incident, assuring Ghanim that he would be welcome at future events, The Nation reported.', 'With around 300,000 individuals of Middle Eastern and North African descent living in Michigan, accounting for 3.1 per cent of the state’s population, their electoral influence is significant.', 'In the 2020 Presidential Election, Biden narrowly defeated Trump in Michigan by just over 150,000 votes, a stark contrast to Trump’s slim victory in 2016 against Hillary Clinton by less than 11,000 votes.', 'Save my name, email, and website in this browser for the next time I comment.', '', 'Parikh Worldwide Media is the largest Indian-American publishing group in the United States. The group publishes five periodicals – “News India Times,” a national weekly newspaper; “Desi Talk in New York,” a weekly newspaper serving the New York-New Jersey-Connecticut region; and “Desi Talk in Chicago,” a weekly newspaper serving the Greater Chicago area and the Midwestern states; and “The Indian American,” a national online quarterly feature magazine, and the Gujarat Times, a Gujarati language weekly. The combined circulation and readership of these publications make the media group the most influential in the ethnic Indian market.', 'Subscribe to our weekly newsletter for news.', '', 'Name *', 'Email (required) *', '', '']"
Muslim leaders in Michigan rally behind Trump amid discontent with Biden's Gaza policy,https://www.lokmattimes.com/international/muslim-leaders-in-michigan-rally-behind-trump-amid-discontent-with-bidens-gaza-policy,"['', 'Marathi | Hindi', 'FOLLOW US :', '', '', 'By ANI | Published: October 27, 2024 10:42 PM', ""Michigan [US], October 27 : A coalition of prominent Muslim leaders in Michigan has publicly endorsed former US President and Republican candidate Donald Trump at a rally in Novi, criticising US President Biden's policies regarding the ongoing conflict in Gaza."", 'This announcement marks a significant shift in support from a community that has traditionally leaned toward the US Democratic Party, The Nation reported.', 'At the rally, Belal Alzuhairi emphasised their support for Trump, stating, ""We, as Muslims, stand with President Trump because he promises peace, not war."" He praised Trump\'s commitment to ending conflicts, particularly in the Middle East and Ukraine, arguing for an end to the global bloodshed. Alzuhairi believes Trump is capable of facilitating peace.', 'In response, Trump affirmed that Muslim and Arab voters seek an end to ongoing wars and a return to peace in the Middle East. He remarked, ""That\'s all they want,"" addressing the community\'s desire for stability and resolution in conflict areas.', 'Trump also took the opportunity to criticise Vice President Kamala Harris, pointing out her connection to Liz Cheney, a former Republican congresswoman known for supporting the Iraq invasion in 2001. He noted the endorsement Harris received from the Cheneys, further highlighting perceived inconsistencies within the Democratic Party, reported The Nation.', 'The discontent within Michigan\'s Muslim community has grown due to the Biden administration\'s unwavering support for Israel amid its military actions in Gaza since October 7, 2023. This shift was evident when over 100,000 Democratic voters chose ""uncommitted"" in the state\'s presidential primary, protesting Biden\'s Gaza policy during his re-election campaign.', 'Tensions escalated when the Democratic Party declined the request from the Uncommitted movement to feature a Palestinian American speaker at the Democratic National Convention in August. This refusal further alienated Muslim voters, who felt underrepresented.', 'Adding to the strain, Ahmed Ghanim, a former congressional candidate in Michigan, reported being removed from an invitation-only event hosted by Harris without explanation. The Harris campaign later expressed regret over the incident, assuring Ghanim that he would be welcome at future events, The Nation reported.', ""With around 300,000 individuals of Middle Eastern and North African descent living in Michigan, accounting for 3.1 per cent of the state's population, their electoral influence is significant."", ""In the 2020 Presidential Election, Biden narrowly defeated Trump in Michigan by just over 150,000 votes, a stark contrast to Trump's slim victory in 2016 against Hillary Clinton by less than 11,000 votes."", 'Disclaimer: This post has been auto-published from an agency feed without any modifications to the text and has not been reviewed by an editor', 'FOLLOW US :', '', 'Copyright ©2024 Lokmat Media Pvt Ltd']"
Election 2024 Trump,https://www.wvnews.com/newsfeed/us/election-2024-trump/image_5a944abb-b846-5800-aa33-d8d88aa154eb.html,"['', '', '', '', '', 'Republican presidential nominee former President Donald Trump, right, stands alongside local Muslim leaders during a campaign rally at the Suburban Collection Showplace, Saturday, Oct. 26, 2024 in Novi, Mich.', '', 'Donald Trump has further denigrated Detroit while appealing for votes in a suburb of the largest city in swing state Michigan. Trump said at a rally Saturday that he thinks “Detroit and some of our areas makes us a developing nation.” He said people want him to say Detroit is “great,” but he thinks it “needs help.” Earlier this month, the Republican nominee for the White House told an economic group in Detroit that the “whole country will end up being like Detroit” if Kamala Harris wins the presidency. That comment drew harsh criticism from Democrats who praised the city for its recent drop in crime and growing population.', '', 'Log In', '', '', '', ""News from around the State and World. What you need to know for today! Don't Miss it!"", 'Special offers from businesses around your area.', 'Sign up to get our statewide obits delivered to your inbox daily.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Trump endorsed by several Muslim & Arab American leaders at campaign rally in Novi,https://www.wxyz.com/trump-endorsed-by-several-muslim-arab-american-leaders-at-campaign-rally-in-novi,"['Menu', ""(WXYZ) — Former President Donald Trump spoke to thousands of people Saturday afternoon at Novi's Suburban Collection Showplace. The 45th President spoke about policies impacting voters, from the border to the economy and even foreign policy, which excited the crowd."", 'Calab Tworek, 24, from the village of Carleton, came for his ninth Trump rally.', '""I want to be able to afford a house when I move out of my parent\'s house one day. Just make everything affordable again,"" said Tworek.', '""With your vote in this election, we will end inflation. We will have a few things, I think you will like, no tax on tips, no tax on overtime. And no tax on social security,"" said Trump during the event.', ""Related Video: Watch Trump's full speech below:"", '', 'Dearborn-based Imam Bilal Alzuhiry met Trump backstage along with 20 other religious leaders from across the country to build support for Arab and Muslim Americans.', '""We believe our religion is a religion of peace. And we don\'t want to see no more wars,"" said Imam Bilal.', 'Trump accepted the endorsement from Muslim religious leaders as well as from Dearborn Heights Mayor Bill Bazzi.', '""When he was President, he put a Muslim ban, he supports Israel. So, how do you tackle that?"" asked Faraz Javed, 7 News Detroit reporter.', '""When you talk about all that, I would, especially now, like to talk about the present and future. I don\'t want to talk about the past. Now that he is trying to extend his hand to us. The fact that he is meeting us, he is listening to us attentively. I think this is a good gesture. And this is something we can build upon,"" said Imam Bilal.', 'Meanwhile, on Sunday, Arab American leaders in Dearborn will hold a press conference at the Arab American Chamber of Commerce Building to endorse Vice President Kamala Harris.', 'Their statement reads in part:', '""Despite our deep disappointment and anger with the Biden administration’s failed Middle East policies, we will not abandon our coalition partners. They share our horror over the killings and massive devastation in Gaza and Lebanon. They have stood with us in protest as we have stood with them. As we see it, the stakes in this November’s election are high for all Americans who care about peace, justice, and equity. It can be called an Armageddon election - one in which our very democracy and way of life will be on the ballot. There are profound and compelling differences between the two main candidates.', 'Donald Trump has called for a Muslim ban, the arrest and deportation of 11 million hard-working immigrants who contribute to our economy and internment camps. His xenophobia, bigotry, divisive rhetoric, and incitement to violence, present a real threat to all Americans. He has not demonstrated any compassion for Palestinians, has not called for a cease-fire and has, instead, urged Netanyahu to “finish the job.”', 'Kamala Harris, on the other hand, from the earliest days of the war, has made clear her concern for Palestinian suffering. She was the first to call for a ceasefire and also to call for Palestinian self-determination. We would have hoped that she would have distanced herself from Biden’s failed policies, but as a sitting vice president, we understand her hesitance.', 'But Arab Americans are not a single-issue people, we care about the environment, an existential issue for families and children, workers, rights and a fair wage, civil rights, women\'s rights and so much more.""', 'At the rally, Javed asked: ""If elected President, and if he doesn\'t deliver on his promise, have you got access to him and his team to express your grievances?""\n""I would like to assume the best and not the worst,"" said Imam Bilal.', '""I am proclaiming that by then, of my term, the entire world will be talking about the Michigan Miracle. And the stunning re-birth of Detroit,"" said Trump during the event.', ""November 5 is election day. That's why it's crunch time for candidates as they make the last-minute push. Next, Vice President Kamala Harris and her running mate Tim Walz will be in Ann Arbor on Monday.""]"
"Seeking Middle East Peace, Michigan Muslim Leaders Endorse Trump At Saturday Rally",https://www.allsides.com/news/2024-10-27-1315/politics-seeking-middle-east-peace-michigan-muslim-leaders-endorse-trump,"['', 'What will the future of AllSides look like?', 'That is for you, the AllSides community, to decide.', 'At 69 million impressions last month, our reach is growing every day. We’re setting AllSides on the path to move the needle from polarization and division to civility, understanding and solving the important problems of our time.', 'The impact that AllSides could have on our society is exciting for many. If you are energized by what we do, consider becoming an AllSides investor.', 'If just 1% of users in September invested the minimum amount, we would meet our goal of raising $1 million.', 'Help shape the future of AllSides and our democracy.', 'Or consider becoming a Sustaining Member of AllSides.', 'In the latest vivid demonstration that once-durable Democratic constituencies are being completely shattered in 2024, former President Donald Trump on Saturday welcomed Michigan Muslim leaders onto a stage and heartily accepted their endorsements. ""I’m thrilled to accept the endorsement of these highly respected leaders,"" Trump told the crowd in Novi, a Detroit suburb. The principal motivator of the endorsements appears to be outrage over the Biden-Harris administration\'s support of Israel\'s long, astoundingly destructive war on Gaza -- and a belief that even ardent Israel-backer Trump would be far more likely...', '', '', 'Discover more common ground on Politics', 'October 22nd, 2024', 'AllSides Staff', 'October 27th, 2024', 'AllSides Staff', 'October 27th, 2024', 'AllSides Staff', 'September 27th, 2024', 'AllSides Staff', 'September 27th, 2024', 'AllSides Staff', 'September 27th, 2024', 'See more voter guides', '', '', '', '', '', '', '']"
Muslim leaders pledge support for Trump,https://www.foxnews.com/video/6363805830112,"['', '', '', 'Former President Trump received a massive endorsement of major Muslim leaders and Imams during a campaign rally in Novi, Mich., on Saturday.', '©2024 FOX News Network, LLC. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed. All market data delayed 20 minutes.']"
"Trump invites Muslim leaders onstage, as he and Harris woo Michigan voters troubled by Gaza",https://www.timesofisrael.com/trump-harris-face-michigan-voters-concerned-over-gaza-economy-womens-rights/,"['ISRAEL AT WAR - DAY 388', 'Republican presidential candidate Donald Trump appealed to Muslim voters in Michigan on Saturday as Michelle Obama made an impassioned plea on behalf of Democratic candidate Kamala Harris at the party’s rally in the battleground state.', 'Harris and Trump are battling for Michigan voters that include an Arab American and Muslim population concerned about the war in Gaza, ongoing since Hamas’s October 7, 2023 massacre in southern Israel, and union workers worried about how electric vehicles could reshape the United States auto industry, which is headquartered in Detroit, the state’s largest city.', 'Election Day is November 5 but early voting was underway in Michigan and many other states.', 'Speaking at a rally outside Detroit, Trump said he had just met with a group of local imams, arguing that he deserved the support of Muslim voters because he would end conflicts and bring peace to the Middle East.', '“That’s all they want,” Trump said in the Detroit suburb of Novi, also pledging to auto workers at the rally that he would reverse economic decline in the Detroit area and nationwide.', 'Trump fully backs Israel but has not said how he would end the conflict there.', 'Even so, Trump appears to be gaining support from some Muslim Americans upset with US President Joe Biden’s and Harris’s support of Israel, and despite Trump banning immigration from some Muslim-majority countries in his first term as president.', 'Trump invited “all of my friends to come up [on stage] from the Arab and Muslim part of Michigan” and asked the crowd to “give them a big hand because they’re going to vote for us and help us win.”', 'Imam Belal Alzuhairi of the Islamic Center of Detroit joined Trump on stage, saying, “We as Muslims stand with President Trump because he promises peace. He promises peace not war… He promised to end war in the Middle East and Ukraine.”', 'With some 8.4 million registered voters and 15 electoral college votes of the 270 needed to win, Michigan is one of seven competitive US states that will decide the election. It is part of the “Blue Wall” that is considered the Democrats’ best chance of electing Harris, along with Pennsylvania and Wisconsin.', 'In the southern Michigan city of Kalamazoo, about 210 kilometers (130 miles) away, Harris drew contrasts between her and Trump on issues such as abortion rights, taxes and healthcare.', 'But first Obama, the popular wife of former US president Barack Obama, fired up the crowd by drawing distinctions between the two candidates on personal character and qualifications, saying there was a double standard in how Trump and Harris were being treated.', '“I hope you’ll forgive me that I’m a little frustrated that some of us are choosing to ignore Trump’s gross incompetence while asking Kamala to dazzle us at every turn,” the former first lady said, urging any undecided voters to “snap out of whatever fog they’re in.”', 'Obama also addressed women’s health at length, saying Trump has failed to demonstrate an understanding of its complexity and that his vows to rescind the Affordable Care Act passed during her husband’s presidency would affect the “entirety of women’s health, all of it.”', '“We as women will become collateral damage to your rage,” she said, later introducing Harris to an animated crowd.', 'Harris was several minutes into an upbeat address when she was interrupted by a demonstrator who repeatedly yelled, “No more Gaza war.”', 'After Harris supporters shouted down the interruption, she responded, “On the topic of Gaza, we must end that war,” then picked up where she left off, asking voters to “turn the page on the fear and the divisiveness.”', '“Over the last eight years, Donald Trump has become more confused, more unstable and more angry, and it is clear he has become increasingly unhinged. But the last time, at least there were people who could control him, but notice they’re not with him this time,” Harris said.', 'Ahead of the rally, Harris met with women medical providers in Portage, Michigan, where she said the country was in a healthcare crisis following the 2022 ruling by the US Supreme Court that overturned Roe v. Wade, which had guaranteed a women’s right to abortion nationwide.', 'Harris heard from six women medical providers who described being inundated by patients from other regions due to a lack of reproductive healthcare in their areas since Roe was overturned.', 'After leaving Michigan, Trump traveled to Pennsylvania, where he tried to reel in young voters with a rally on the campus of Penn State University, at one point bringing the school’s wrestling team on stage with him.', '“We have to finish it off with a big victory on November 5,” he said.', 'Harris is leading Trump nationally by a marginal 46 percent to 43%, a recent Reuters/Ipsos poll showed. In Michigan, Harris leads by even less – 47.6% to 47.1%, according to opinion poll aggregator FiveThirtyEight.', 'Since the 2020 election, Michigan has instituted early in-person voting for the first time and begun permitting jurisdictions with more than 5,000 people to begin processing and tabulating mail ballots eight days before the November 5 Election Day.', 'So far, 19.5% of registered voters in Michigan, or nearly 1.42 million people, have voted, Michigan’s State Department said on Friday. Only 10,900 were in-person early votes, while the rest were returned absentee ballots.', 'Times of Israel staff contributed to this report.', '', 'Are you relying on The Times of Israel for accurate and timely coverage right now? If so, please join The Times of Israel Community. For as little as $6/month, you will:', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
