Title,Link,Paragraphs
"Trump Plans to Attend Super Bowl, Further Tightening Security",https://www.bloomberg.com/news/articles/2025-02-04/super-bowl-security-tightens-after-new-orleans-terrorist-attack,"['', '', '', '', '', '', '', '', 'Super Bowl 2025:', '', '', '']"
"Trump will 'soil' Super Bowl LIX with possible historic appearance, columnist says",https://www.foxnews.com/sports/president-trumps-decision-attend-super-bowl-faces-criticism,"['', ""Podcast host Dan Dakich joined 'Fox & Friends First' to discuss his take on the theory and criticism of the New York Giants for losing Eagles running back Saquon Barkley. "", 'As the countdown for Super Bowl LIX continues, a high-profile U.S. political figure is expected to be on hand.  ', ""Punchbowl News was first to report that President Donald Trump will likely be in attendance when the Kansas City Chiefs and Philadelphia Eagles go head-to-head in this year's Super Bowl in New Orleans. The Associated Press confirmed the report, citing a White House official."", 'SIGN UP FOR TUBI AND STREAM SUPER BOWL LIX FOR FREE', 'The Caesars Superdome is being prepared for Super Bowl LIX at the Caesars Superdome on January 16, 2025 in New Orleans, Louisiana.  (Chris Graythen/Getty Images)', 'A source familiar with the matter also told Fox News Digital he would be at the game.', 'HOW TO WATCH SUPER BOWL LIX BETWEEN CHIEFS, EAGLES STREAMED ON TUBI', 'Trump would be the first sitting president to attend the game, per the New York Post. ', 'News of Trump\'s impending visit to Caesars Superdome this Sunday sparked strong reactions. On Tuesday, an op-ed piece from USA Today columnist Mike Freeman addressed the president\'s reported decision to watch the NFL\'s championship game in person. Freeman characterized Trump as ""the most divisive president of our lifetime.""', 'He asserted that the Super Bowl is typically a moment in which the majority of Americans come together, despite their differences. ', '""We put aside politics. We put aside our differences. We take part in a great American tradition,"" Freeman noted. ', 'The Caesars Superdome is being prepared for Super Bowl LIX at the Caesars Superdome on January 16, 2025 in New Orleans, Louisiana.  (Chris Graythen/Getty Images)', 'However, instead of allowing the big game to take on its annual role ""as a genuine moment of unity,"" Freeman argued that Trump\'s presence could sully the moment\'s integrity. ', '""Trump soils everything. Now, he\'s doing the same to the biggest game of the year,"" he continued.', ""Freeman also pointed to some of the likely logistical concerns Trump's presence would create for security personnel leading up to and during Sunday. "", '""There\'s a reason sitting presidents don\'t normally go. It\'s potentially a security nightmare. But also, to me, they want the game to be the center of attention, not them,"" he wrote.', ""Trump did not attend many NFL games during his first term in the White House. However, he did make an appearance at the Pittsburgh Steelers' game against the New York Jets in October following a campaign rally in Pennsylvania."", 'The president has been a more frequent guest at college football games over the last few years. He made his presence felt at the Alabama-Georgia game in September and attended the Army-Navy game following the 2024 U.S. presidential election.', 'CLICK HERE TO GET THE FOX NEWS APP', 'Super Bowl LIX will be streamed on Tubi. (Tubi)', 'Before the game kicks off, Trump will speak with Fox News Channel’s Bret Baier. The pre-taped interview took place at Mar-a-Lago in Palm Beach, Florida, and will air in the 3 p.m. ET hour on Super Bowl Sunday.', 'The news of Trump\'s upcoming appearance coincided with a report from The Athletic about the NFL\'s decision to switch the ""End Racism"" end zone signage to messages of ""Choose Love"" and ""It Takes All of Us."" The messages are one facet of the league\'s multilayered ""Inspire Change,"" which was created in 2018 and makes efforts to advance diversity and inclusion.', 'Super Bowl LIX will kick off at 6:30 p.m. ET. Pregame coverage can be seen on FOX beginning at 1 p.m. ET. Tubi will also stream coverage on its platform for the first time.', ""Fox News' Ryan Gaydos contributed to this report."", 'Follow Fox News Digital’s sports coverage on X, and subscribe to the Fox News Sports Huddle newsletter.', 'Chantz Martin is a sports writer for Fox News Digital.', 'Get all the stories you need-to-know from the most powerful name in news delivered first thing every morning to your inbox.', 'By entering your email and clicking the Subscribe button, you agree to the Fox News Privacy Policy and Terms of Use, and agree to receive content and promotional communications from Fox News. You understand that you can opt-out at any time.', '', '', 'This material may not be published, broadcast, rewritten, or redistributed. ©2025 FOX News Network, LLC. All rights reserved. Quotes displayed in real-time or delayed by at least 15 minutes. Market data provided by Factset. Powered and implemented by FactSet Digital Solutions. Legal Statement. Mutual Fund and ETF data provided by Refinitiv Lipper.']"
Opinion | Donald Trump brings back the tradition of the Super Bowl interview,https://www.poynter.org/commentary/2025/donald-trump-super-bowl-interview-with-bret-baier/,"['The tradition of the president being interviewed on Super Bowl Sunday returns this weekend.', 'Fox Sports has this year’s Super Bowl and it was announced Monday that Fox News’ Bret Baier will sit down with President Donald Trump in an interview that will air during the long pregame show.', 'The interview will be pretaped and much of it will be shown during the pregame. In addition, some of the interview will also air the next day (Feb. 10) on Fox News’ “Special Report with Bret Baier,” as well as Fox News’ website.', 'Fox News told USA Today that the interview will “focus on the changes the Trump administration has enacted since the Inauguration and the first 100 days of his presidency.”', 'The big question is whether Baier will push Trump on the many controversial actions Trump has taken since his White House return, or if Baier will simply serve up a bunch of softballs. Baier has had, in general, a good reputation as a fair journalist, but that reputation took a bit of a hit last year when his interview with Democratic presidential nominee Kamala Harris turned testy when he kept interrupting and talking over her. Let’s see if Baier is just as persistent in interrupting Trump if Trump goes on tangents, as he is wont to do.', 'Then again, it’s hard to know what to make of the Super Bowl interview these days.', 'Here’s what I wrote in 2023:', 'The presidential Super Bowl interview started back in 2004 when then-President George W. Bush was interviewed by CBS sports broadcaster Jim Nantz. That interview, which lasted only four minutes, was not a hard-hitting one, nor was it supposed to be. Nantz and Bush talked about Houston hosting that Super Bowl, how the Super Bowl had practically become a national holiday, Bush’s plans for watching the game and which team he was rooting for. The only beefy question Bush was asked was about performance-enhancing drugs in sports.', 'Eventually, during the Obama administration, the interview was taken over by journalists from the network’s news division and questions alternated between sports and serious issues. Many point to Bill O’Reilly’s 2014 interview with then-President Barack Obama on Fox as when the interview started to become especially political. That interview was notable for O’Reilly pressing Obama on Benghazi.', 'From then on, the president was expected to sit down with the Super Bowl network and if the interview wasn’t at least a little contentious, the interviewers were crushed for being too soft.', 'But presidents kept agreeing to the interviews until Donald Trump refused to sit down with NBC and Lester Holt in 2018.', 'President Joe Biden continued the tradition by being interviewed by CBS and then NBC in his first two years in office. The last two years, however, Biden did not sit down for a Super Bowl Sunday interview. Two years ago, the game was on Fox, and you figure he had no interest in sitting down with a Fox News personality. Then last year, he turned down an interview with CBS, which hosted the game.', 'I’ve changed my stance over the years on Super Bowl interviews. I used to think that the president had a rare chance to talk to so many people at one time that he had to do it. The Super Bowl itself typically draws well over 100 million viewers. But the pregame show comes nowhere near that number. An audience of 20 million would be considered good. Then again, most of the people who actually watch the pregame are likely to be football fans, and are fans receptive to mixing politics with their football? Probably not.', 'In the end, it’s only a few minutes, so there’s nothing wrong with networks asking the president and the president agreeing to do it. But, these days, with constant news coverage of a president who always seems to be in front of the media, I’m not sure the presidential interview will produce much news.', 'This, by the way, will be the third time Fox interviews Trump on Super Bowl Sunday. The first was in 2017 when he was interviewed by Bill O’Reilly. The other was in 2020 when he was interviewed by Sean Hannity.', 'Washington Post media critic Erik Wemple did an online chat with readers on Monday, and I encourage you to check it out in its entirety. But I did want to point to one question that many of you might be struggling with.', 'A reader asked, “How can we stay on top of the most pressing issues facing our country without getting sucked down a rabbit hole or becoming so jaded we just check out? I’m a reporter and I can hardly keep up with all these developments and find myself having to let important updates slide, and I feel it’s become a Sisyphean task for everyone else.”', 'What a good question.', 'Wemple replied, in part, “You have a great deal of company in experiencing difficulties keeping up with pounding of news stories in these early days of the second Trump administration. Of course, many or most of the news items these days stem from actions taken by Trump and his appointees — a loud and showy spasm of executive orders and other actions designed to prove to supporters that action on campaign promises is being taken without delay. I feel that the best approach is to stay away from firehoses like Facebook, Twitter and other places where little initiatives get blown up into big things and to stick to a couple of outlets that you trust. Read the top five or ten stories and then do something else. Clean the house; do pushups; call someone cool.”', 'NBA star Luka Dončić, shown here on Jan. 22, was traded from the Dallas Mavericks to the Los Angeles Lakers. (AP Photo/LM Otero)', 'Maybe it’s because of that firehose of stressful news coming out of Washington, D.C., but I simply cannot get enough of the blockbuster NBA trade over the weekend that saw the Dallas Mavericks ship superstar Luka Dončić to the Los Angeles Lakers for a package that included all-star Anthony Davis, another young player and a first-round draft choice. The Athletic’s Jason Jones ranked it as the third-biggest trade in NBA history. Dončić, by most accounts, is considered one of the five best players in the world.', 'Seriously, I cannot stop reading stories about it, listening to podcasts about it and watching TV shows about it. The coverage has been splendid. What makes it so fun is that it’s a big deal in the sports world, incredibly interesting, and yet not important enough to beat you down like all the Washington political stuff.', 'Sometimes I rail on ESPN’s morning show, “Get Up,” saying they should change the name to “Get Up and Start Yelling About NFL Quarterbacks.” But Monday morning, the show was must-see TV with an array of experts and analysts such as Charles Barkley, Michael Wilbon and Stephen A. Smith all going on to discuss the trade that was as surprising as it was big.', 'How surprising? ESPN’s big NBA insider, Shams Charania, put out a breaking news tweet a little after midnight on Saturday announcing the trade and then had to put out another one 20 minutes later saying, “Yes, this is real.”', 'In an interview with Sports Illustrated’s Jimmy Traina, Shams (as he is known in NBA circles) said, “After I hit send, I don’t know what was going on with my phone. I had an overload of calls, I was getting an overload of text messages. I try to read all my messages. I try to have zero unread messages. I think at one point, it was close to 300 unread and a bunch of calls. I couldn’t get back to everyone. Obviously, I never had that happen before. Everyone was trying to figure out if this was real. Did you get hacked?”', 'Just writing about this makes me want to go read more about it.', 'Fox Sports 1 and nationally known radio personality Colin Cowherd got sick while talking about the Dončić trade. Literally.', 'During his show on Monday, Cowherd abruptly left the air because of an illness. As he was discussing the big trade, Cowherd told viewers and listeners, “Folks, I’m going to have to take a break. I’m getting very very sick very very quickly on this set and we will return.”', 'Cowherd’s sidekick, Jason McIntyre, took over for the rest of the show. Cowherd later tweeted, “Thank you for all the texts, calls, and concern. Sincerely touching.  Rough hour but I’ll be fine. That damn Luka trade may have just overwhelmed me.”', 'The Grammy Awards were held Sunday night and there was a pretty major snub. No, not in the awards (although lots were upset that Billie Eilish did not win even one despite seven nominations), but in a red-carpet interview before the show.', 'The Associated Press had a live red-carpet show with hosts Leslie Ambriz and Krysta Fauria. The two were interviewing Kenneth “Babyface” Edmonds, but that screeched to a halt when Chappell Roan walked by. Fauria yelled out to Roan. Babyface, noticing that, handed his microphones back and said, “Go do that,” meaning they should interview Roan. To her credit, Ambriz apologized in real time to Babyface for the interruption. (Here’s the exchange.) Babyface was classy in how he handled it, but social media immediately jumped on the AP co-hosts for disrespecting a music legend.', 'Another music legend, Dionne Warwick, tweeted, “Am I seeing this correctly?”', 'Khloé Kardashian tweeted, “This is so disrespectful how Babyface was treated in this interview. Babyface has had such a significant impact on the music industry, in sooo many ways. Its maddening to see a LEGEND not get the respect and attention they deserve. He is a pioneer and deserves so much better than this.”', 'Those were just two of many.', 'Near the end of the livestream, Fauria apologized, saying, “I wanted to say that I’m really sorry about interrupting Babyface earlier. Chappell Roan had come up, and there was a lot of commotion, as there is on these carpets. But I’m a big Babyface fan, as are we all. And so I just wanted to say that I really apologize.”', 'On Monday morning, the AP made a formal apology on social media, posting, “We are deeply sorry for cutting our interview with Babyface short on our YouTube livestream of the Grammys red carpet. We have apologized to him through his representative and to our viewers on the livestream.”', 'Have feedback or a tip? Email Poynter senior media writer Tom Jones at tjones@poynter.org.', 'The Poynter Report is our daily media newsletter. To have it delivered to your inbox Monday-Friday, sign up here.', 'In the latest episode of ‘The Poynter Report Podcast,’ Athletic media reporter Richard Deitsch predicts Brady’s future', 'Writing coach talks about the power of revision, editor pitfalls and the prize you can win for writing short', 'Fox News’ Bret Baier will interview Trump for the pregame show. Will Baier grill him, as he did Kamala Harris, or just serve softballs?', 'The claim originated on a satirical X account called The Halfway Post, which describes itself as posting ‘halfway true comedy and satire’', '‘The only thing that has really changed is the atmosphere and environment in which we and immigrant communities are operating in …’', 'You must be logged in to post a comment.', 'This site uses Akismet to reduce spam. Learn how your comment data is processed.', ""Get the Poynter newsletter that's right for you."", 'Support responsible news and fact-based information today!']"
"JJ’s That’s Trending: Trump To Attend Super Bowl, Blocked Packages, Stolen Eggs and More",https://www.kfdi.com/2025/02/05/jjs-thats-trending-trump-to-attend-super-bowl-blocked-packages-stolen-eggs-and-more/,"['', '', ' ', ' ', 'President Trump has his sights set on the U.S. taking over ownership of the Gaza Strip; he’s not opposed to using troops to do it, and after forced relocation leveling, he wants to turn it into the “Riviera of the Middle East.”', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'After what has been a busy first couple of weeks of his presidency, Donald Trump will be attending the Super Bowl this weekend, becoming the first sitting president ever to attend the big game.', ' ', ' ', ' ', ' ', ' ', ' ', 'If you recently ordered something from Temu or Shein, it’s gonna be a while. Amid the tariff war between the U.S. and China, but not given as the official reason, the USPS has temporarily suspended all incoming packages from China and Hong Kong.', ' ', ' ', ' ', ' ', ' ', ' ', ' ', 'A new study says that people are becoming less talkative. The obvious reason for the decline in dialog has a lot to do with dependency on digital technology. With that said, the study did confirm that women talk more than men, about 3,000 more words a day than their male counterparts.', ' ', ' ', ' ', ' ', ' ', ' ', 'It was only a matter of time before this happened. Thieves in Pennsylvania just stole about 100,000 eggs worth $40,000. The supplier is taking the theft “egg-streamly” seriously. Authorities aren’t sure who poached the eggs, but they are scrambling to crack the case.', ' ', 'And THAT’S TRENDING', ' ', ' ', ' ', ' ', ' ']"
Donald Trump to become first sitting US president to attend Super Bowl,https://www.theguardian.com/sport/2025/feb/04/donald-trump-to-become-first-sitting-us-president-to-attend-super-bowl,"['Donald Trump will become the first sitting US president to attend the Super Bowl when he watches Sunday’s game between the Kansas City Chiefs and Philadelphia Eagles in New Orleans.', 'A White House official confirmed Trump’s decision to the Associated Press on Tuesday. Sitting US vice-presidents, including Al Gore and George HW Bush, have attended Super Bowls in the past.', 'Trump will also sit down for a pre-recorded interview that will be aired on the pregame show for Fox, this year’s US broadcaster for the Super Bowl. Trump’s predecessor, Joe Biden, declined to sit down for a Super Bowl interview in 2023 and 2024, as did Trump in 2018, during his first term as president.', 'Trump is a keen sports fan and is often seen at golf tournaments and college football games. While he has been cheered at games, during his first term as president he was jeered and greeted with “lock him up” chants by Washington Nationals fans during an appearance at the 2019 World Series. Last weekend Canadian NBA and NHL fans booed the US national anthem as Trump threatened tariffs on US goods.', 'Trump has not said which team he will be supporting on Sunday, although it would not be a surprise if he goes for the Chiefs. The Eagles were disinvited from Trump’s White House in 2018 after their last Super Bowl victory, while several figures around the Chiefs, including kicker Harrison Butker and Brittany Mahomes, the wife of Kansas City quarterback Patrick Mahomes, have aligned themselves with the Maga movement. Trump also congratulated the Chiefs when they reached the Super Bowl by beating the Buffalo Bills, a compliment he did not extend to the Eagles.', '“Congratulations to the Kansas City Chiefs,” Trump said on social media. “What a GREAT Team, Coach, Quarterback, and virtually everything else, including those fantastic FANS, that voted for me (MAGA!) in record numbers. Likewise, congratulations to the Buffalo Bills on a tremendous season. They will do a lot of winning long into the future!!!”', 'The decision comes as a turnaround in Trump’s relationship with the NFL. He devoted significant time to attacking the league in his first term after players began kneeling for the national anthem in protest against social and racial injustice.']"
President Donald Trump to attend Super Bowl in New Orleans,https://www.wwltv.com/article/sports/nfl/superbowl/president-donald-trump-to-attend-super-bowl-in-new-orleans/289-aece8eba-85d1-42f8-95c0-4c74feab737e,"['', '', '', '', '', '', '', '', 'NEW ORLEANS — President Donald Trump will attend Sunday’s Super Bowl at the Caesars Superdome, making history as the first sitting president to be present at the nation’s biggest sporting event, sources confirmed to CBS News and federal law enforcement.', 'Trump’s attendance will require an additional layer of security, particularly after a terrorist attack on New Year’s Eve that left 14 dead and dozens injured on Bourbon Street. The game will take place 39 days after the ISIS-inspired attack, prompting heightened safety measures at the stadium and surrounding areas.', 'While no sitting president has attended a Super Bowl, three vice presidents have: Spiro Agnew in 1971, George H.W. Bush in 1982, and Al Gore in 1994. Bush also participated in the coin toss at Super Bowl XXXVI as a former president during a game held in New Orleans.', 'This Sunday’s matchup between the reigning Super Bowl champions, the Kansas City Chiefs, and the Philadelphia Eagles will be the 11th Super Bowl held in New Orleans. Trump’s appearance is expected to draw significant attention and bolster already enhanced security preparations around the city.', ' Click here to report a typo.', '► Get breaking news from your neighborhood delivered directly to you by downloading the new FREE WWL-TV News app now in the IOS App Store or Google Play.']"
Trump Attending Chiefs-Eagles Super Bowl—But He’s Clashed With The Eagles In The Past,https://www.forbes.com/sites/conormurray/2025/02/04/trump-attending-chiefs-eagles-super-bowl-but-hes-clashed-with-the-eagles-in-the-past/,"['', 'President Donald Trump will attend the Super Bowl, multiple news outlets reported. (Photo by Andrew', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'SPECIAL OFFER', '$\n9.99', 'Billed Monthly', '$\n74.99', 'Billed Annually', '$\n145', 'Billed Biennially', 'Subscriptions renew automatically. You may cancel your subscription at any time.', 'Benefits']"
How many times has the Super Bowl been in New Orleans?,https://www.wwltv.com/article/sports/nfl/superbowl/when-was-last-time-super-bowl-was-in-new-orleans/289-b2b97754-4b5a-4cf2-a1d5-29c670538ab1,"['', '', '', '', '', '', '', '', ""NEW ORLEANS — New Orleans is one of just 16 cities nationwide that have hosted the National Football League's (NFL) biggest event of the year."", ""The Kansas City Chiefs and Philadelphia Eagles will be the latest teams to play in New Orleans' confines for Super Bowl LIX on Sunday evening."", 'New Orleans hosted the Super Bowl on Feb. 3, 2013, featuring a matchup between the Baltimore Ravens and San Francisco 49ers. ', 'Super Bowl XLVII, also known as the ""Harbaugh Bowl,"" pitted Ravens head coach John Harbaugh and 49ers head coach Jim Harbaugh.', ""Over 70,000 people were in attendance to see the 49ers nearly battle back from a 28-6 deficit in the third quarter to claim the championship. But the Ravens fended off the 49ers' second-half barrage of points for the 34-31 victory. "", 'New Orleans will be hosting its 11th Super Bowl, tied with Miami for the most Super Bowl hosting appearances.', 'The city hosted the Super Bowl four times in the 1970s, twice in the 1980s and twice in the 1990s. New Orleans also hosted the Super Bowl in 2002, which culminated with a 20-17 upset victory by the New England Patriots over the Los Angeles Rams. ', 'Only four cities (Miami, New Orleans, Los Angeles and Tampa) have hosted the Super Bowl more than five times. ', ' Click here to report a typo.', '► Get breaking news from your neighborhood delivered directly to you by downloading the new FREE WWL-TV News app now in the IOS App Store or Google Play.']"
"Donald Trump expected to attend 2025 Super Bowl, becoming first sitting president to attend NFL's biggest game",https://www.cbssports.com/nfl/news/donald-trump-expected-to-attend-2025-super-bowl-becoming-first-sitting-president-to-attend-nfls-biggest-game/,"['', ""NEW ORLEANS -- The first Super Bowl was played in January 1967, and in the 58 years since then, no sitting president has ever attended the game, but that's going to change this year. Donald Trump is set to be in attendance on Sunday for Super Bowl LIX in New Orleans, CBS News has reported. "", ""There have been a total of 11 presidents to hold office since that first Super Bowl, and none of them has attended a game. Not only will Trump be on hand to watch the Kansas City Chiefs face the Philadelphia Eagles, but he'll also be taking part in a pre-taped interview with Fox that will air at some point during the 3 p.m. ET hour on Super Bowl Sunday. "", ""Although we haven't seen a sitting president attend the Super Bowl, there have been four instances where a sitting vice president attended the game, with the most recent one coming in February 2017 when Mike Pence was on hand in Houston to witness the Patriots' 34-28 win over the Falcons in Super Bowl LI. The most notable situation involving a vice president came in January 1982 when the VP at the time, George H.W. Bush decided to attend the Bengals-49ers game in Detroit. Bush's motorcade stalled traffic, which almost caused a 49ers team bus to be late for the game. The bus arrived just 20 minutes before the 49ers were set to start on-field warmups. "", ""This year's Super Bowl was already going to have heightened security with the event coming less than six weeks after a Jan. 1 terrorist attack in New Orleans that left 14 dead. With Trump now attending, security will likely be amped up. "", 'Earlier this week, Kristi Noem, the secretary of the Department of Homeland Security, said that more than 690 employees representing 12 DHS agencies will be in New Orleans providing nearly every kind of security imaginable. ', '""Around 100,000 people will be celebrating the Super Bowl in and around the Superdome in New Orleans this weekend,"" Noem said in a statement. ""We will give law enforcement every resource they need to ensure a safe event. Thank you to our partners, Governor Landry, Mayor Cantrell and the New Orleans Police Department. If you see something, say something!""', 'The security presence in New Orleans has been noticeable with an estimated 2,000 federal agents and 350 national guard troops in town to help with security (You can read more about the security measures here). ', 'Super Bowl LIX will be kicking off at 6:30 p.m. ET on Sunday. ', '© 2004-2025 CBS Interactive. ALL RIGHTS RESERVED.', 'CBS Sports is a registered trademark of CBS Broadcasting Inc. Commissioner.com is a registered trademark of CBS Interactive Inc.', 'The content on this site is for entertainment purposes only and CBS Sports makes no representation or warranty as to the accuracy of the information given or the outcome of any game or event. There is no gambling offered on this site. This site contains commercial content and CBS Sports may be compensated for the links provided on this site.', 'Images by Getty Images and Imagn']"
President Donald Trump will attend Super Bowl 59 in New Orleans,https://www.usatoday.com/story/sports/nfl/super-bowl/2025/02/04/donald-trump-super-bowl-kansas-city-chiefs-philadelphia-eagles/78210292007/,"['President Donald Trump is planning to go to the Super Bowl.', ""The White House confirmed that Trump will attend Sunday's rematch between the Kansas City Chiefs and Philadelphia Eagles in New Orleans, and the presence of a sitting United States President at the Caesars Superdome in New Orleans will add another layer to the atmosphere surrounding Super Bowl 59. Security for this year's Super Bowl had already been enhanced in response to the deadly attack in New Orleans on Jan. 1 that killed 14 people, injured dozens more and forced the postponement of the Sugar Bowl."", ""The Super Bowl is coming to New Orleans for the first time since 2013 – and less than six weeks after Shamsud-Din Jabbar, 42, drove a truck into a crowded portion of the city's iconic French Quarter. Jabbar, a Texas resident and Army veteran, died in a shootout with police. Authorities later found an ISIS flag in the truck and investigated the attack as an act of terrorism."", 'SUPER BOWL 2025:Full schedule for Super Bowl week', 'Trump is believed to be the first sitting President to possibly attend a Super Bowl. President George H.W. Bush twice performed the Super Bowl coin toss – first in 2002 when the New England Patriots beat the St. Louis Rams in the first Super Bowl after the 9/11 terrorist attacks, and then again in 2017 before Tom Brady and the Patriots beat the Atlanta Falcons in the biggest Super Bowl comeback of all-time.', 'NFL STATS CENTRAL: The latest NFL scores, schedules, odds, stats and more.', ""Trump declined to pick a Super Bowl winner when asked about the game by reporters Tuesday in the Oval Office, but seemed to reference Patrick Mahomes' remarkable postseason record with the Chiefs in his response."", '""I don\'t want to say, but there\'s a certain quarterback that seems to be a pretty good winner,"" Trump said.', ""Trump will also take part in the lead-up to Sunday's game."", 'Fox News Channel previously announced it will air a pre-taped interview with Trump during the Fox Super Bowl pregame show on Sunday. The interview takes place at one of Trumps\' residences, Mar-a-Lago in Palm Beach, and will ""focus on the changes the Trump administration has enacted since the Inauguration and the first 100 days of his presidency,"" the network released in a statement to USA TODAY.', ""This would be Trump's first visit to a sporting event since his second inauguration last month, but he's made them a staple of his political and public life."", 'Trump notably attended several college football games over the past decade and has not shied away from large crowds since surviving an assassination attempt at one of his campaign rallies in Pennsylvania almost seven months ago. He was most recently at the Army-Navy college football game in December.']"
